App,Star_Rating,vader_compound,vader_label,migration_source,migration_destination,migration_phrase,migration_reason_category,migration_reason_text,lda_topic_label
ChatGPT,2,0.5251,Positive,ChatGPT,Gemini,switch to,General,"look more natural. then, i heard about chatgpt work with pentagon so yeah..it's time to part ways with it. I switch to Gemini Anthropic now.",Accuracy & Quality
MS Copilot,5,0.0,Neutral,Gemini,MS Copilot,quit,User Experience,I asked the same question to Gemini but Copilot was quite a bit more informative and thorough,General Satisfaction (1)
MS Copilot,1,0.0941,Positive,MS Copilot,Gemini,switching to,User Experience,Switching to Gemini because Broken UI Keyboard covers input box breaking the app. This is now a long standing bug. No Editing Can't f,Bugs & Performance
MS Copilot,5,0.983,Positive,Gemini,MS Copilot,quit,Accuracy,ith the way it helps you write letters and also the way it can dictate for you quite accurately actually as I have used Gemini and sometimes the words,General Satisfaction (1)
MS Copilot,5,0.7717,Positive,MS Copilot,Gemini,moved to,General,I've moved to copilot from get and Gemini. thank you MS for making copilot the best for my use case.,General Satisfaction (1)
MS Copilot,5,0.6989,Positive,MS Copilot,Gemini,will use,General,"I absolutely love Copilot! - 1 of the only 3 AIs I will use. This one, Grok or Gemini. My biggest go to of those is Copilot .",Platform Comparison
MS Copilot,5,0.7351,Positive,MS Copilot,Gemini,started using,Speed,"I'm brand new to this AI experience. However, I started using Gemini and then tried CoPilot. Hands down CoPilot is better, faster, deeper insights, ju",Platform Comparison
MS Copilot,1,-0.7319,Negative,MS Copilot,Gemini,moving to,User Experience,ngry that I have wasted a year building this up as an aid and now it's useless... so I have retired it and am moving to Gemini where I am not having t,General Satisfaction (1)
MS Copilot,4,0.9234,Positive,MS Copilot,ChatGPT,started using,User Experience,ol and helpful and I have only just started using this app. Definitely seems a little more thoughtful and polished than ChatGPT.,General Satisfaction (1)
MS Copilot,5,0.8749,Positive,Gemini,MS Copilot,coming from,General,"I'm still testing the max upgrade version of it, coming from Google Gemini Pro, which I really liked, so we'll see. So far, it's pretty good. I did li",Platform Comparison
MS Copilot,5,0.7251,Positive,ChatGPT,MS Copilot,was using,General,it was really a good experience. I was using chat gpt and was not awared of copilot . and now I think that it is much better than chat gpt and gives s,Platform Comparison
MS Copilot,5,-0.9013,Negative,ChatGPT,MS Copilot,quit,Pricing,"I was on the chatGPT wagon when it first came to us, but I was quite frustrated that I couldn't afford the ridiculous 20 a month fee",Platform Comparison
MS Copilot,5,0.6448,Positive,Gemini,MS Copilot,was using,General,I was using Gemini but co-pilot is so much better,Platform Comparison
MS Copilot,5,0.6478,Positive,ChatGPT,MS Copilot,was using,General,I was using Chatgpt way more than Copilot. I decided to use Co-pilot one night while trying to create something for my digital store,Bugs & Performance
MS Copilot,2,0.7618,Positive,MS Copilot,ChatGPT,switched to,User Experience,"now what happened, but all Copilot will do now is spit out inserts and talk like some medieval wizard. I've switched to ChatGPT for the most part. Ver",General Satisfaction (1)
MS Copilot,5,0.5936,Positive,Gemini,MS Copilot,used to use,General,The Copilot's voice and answers is way more natural and casual than Google gemini or Perplexity Ai that I used to use more than Copilot. Microsoft cam,General Satisfaction (1)
MS Copilot,4,-0.7114,Negative,Gemini,MS Copilot,quit,User Experience,"Microsoft's AI service, similar to Google's Gemini but not as well integrated into my phone's ecosystem. Sadly, this not-quite-as-good duplication mak",Platform Comparison
Gemini,3,0.8271,Positive,Gemini,ChatGPT,started using,General,"its a good app, i just started using it, and I hope it's better than chatGPT",Platform Comparison
Gemini,5,0.9813,Positive,ChatGPT,Gemini,switched from,General,"Switched from ChatGPT to Gemini and I love it! It perfectly understood and explained a Tamil meme I uploaded, which completely surpris",General Satisfaction (1)
Gemini,4,0.7096,Positive,Gemini,ChatGPT,moved to,General,"Daily user for 3 years. I started with ChatGPT but moved to Gemini for the total Pixel Google ecosystem integration. As a stroke survivor, this ""secon",Platform Comparison
Gemini,4,0.7131,Positive,ChatGPT,Gemini,quit,User Experience,s quite a good app but if ur a person who needs a specific answer ngl u gonna write big prompts either ways better than chatgpt and grok even perplexi,Platform Comparison
Gemini,4,0.4927,Positive,ChatGPT,Gemini,quit,User Experience,its actually quite good at generating images almost akeen to chatgpt,Accuracy & Quality
Gemini,5,0.8975,Positive,ChatGPT,Gemini,switched from,General,It is fantastic! Switched from Chat GPT and I am super satisfied with Gemini!,Platform Comparison
Gemini,5,0.8919,Positive,ChatGPT,Gemini,moved from,Writing Quality,. that's far more important than other capabilities. large context? yes. huge. that's also a good feature. I moved from Chatgpt to Gemini. it's workin,Bugs & Performance
Gemini,4,-0.7178,Negative,MS Copilot,Gemini,quit,General,"in the past several months. I find Gemini adapts better to me and not prone to getting stuck in hallucinations. Lately, Copilot's stubborn hallucinati",Platform Comparison
Gemini,5,0.2846,Positive,ChatGPT,Gemini,was using,Speed,"it's a surprise for me, I was using ChatGPT but currently is showing many limitations in picture edition and Gemini es working fast and well, I am ser",Platform Comparison
Gemini,1,0.6124,Positive,ChatGPT,Gemini,switched from,General,if I could get near those robots I would rip them apart I switched from chatgpt I don't know what you call it but they're stupid. I catch it it takes ,Bugs & Performance
Gemini,3,0.6542,Positive,ChatGPT,Gemini,migrated from,Speed,"I recently migrated from Chatgpt, I am a free tier user and the responses are slow, like it takes a good 20 seconds. I tried the voice to text an",Bugs & Performance
Gemini,4,0.7425,Positive,ChatGPT,Gemini,quit,User Experience,"I'm quite impressed by how similar this ai was with chat gpt, good job",Platform Comparison
Gemini,5,-0.6278,Negative,ChatGPT,Gemini,switched from,Accuracy,"I've switched from Chatgpt to Gemini just because Chatgpt has started to become ridiculous. Gemini is way more accurate, faster, and the co",Platform Comparison
Gemini,2,-0.3421,Negative,ChatGPT,Gemini,abandoned,User Experience,I was installing Arch Linux on my PC and AI abandoned me mid-installation I had to ask for help via Chat GPT. I don't like because that.,Platform Comparison
Gemini,1,-0.081,Negative,Gemini,Claude,moved to,Pricing,"o, if you use a VPN for security, gemini is completely useless. Glad I canceled my subscription when I did and moved to claude and grok subscriptions.",Platform Comparison
Gemini,5,0.9789,Positive,ChatGPT,Gemini,quit,User Experience,quite better than other apps like chatgpt and perplexity giving answers to each and every question asked and creating different types of photos accord,Accuracy & Quality
Gemini,1,0.1779,Positive,Gemini,Claude,switching to,User Experience,app keeps crashing after new update. tried all troubleshooting steps and nothing. switching to claude i guess,Bugs & Performance
Perplexity,4,0.8911,Positive,Perplexity,Gemini,switching to,General,"s is just too much. It's impossible to get actual work done with these constant, unannounced restrictions. Switching to Gemini for the rest of the yea",Platform Comparison
Perplexity,5,0.9779,Positive,Perplexity,ChatGPT,started using,General,"Thanks for listening to user feedback and setting the default view back to ""Report view"", you're the best! Tried ChatGPT and gemini but just never rea",Bugs & Performance
Perplexity,4,0.4921,Positive,Perplexity,Claude,switched to,Pricing,"My AI assistant of choice. I switched to the free version from Claude which I found a bit creepy and was impressed by its no-nonsense, fast and effici",Platform Comparison
Perplexity,1,-0.5574,Negative,Perplexity,Claude,moving to,Speed,"tling kills old APK sideloading. Pre-update unlimited, conversational, customizable. Lost a genuine advocate. Moving to Claude others",Platform Comparison
Perplexity,1,0.296,Positive,Perplexity,Gemini,switched to,Search Quality,Only 20 Pro Deep searches a month for 20. What a joke. I switched to Gemini,Platform Comparison
Perplexity,5,0.945,Positive,Perplexity,ChatGPT,will use,User Experience,it is a good app I will use for finding answer and facing the answer it is a good app chat GPT is also good app it is good from the public City everyo,General Satisfaction (1)
Perplexity,1,0.2598,Positive,Perplexity,ChatGPT,moved to,Accuracy,g extensively but It seems recently a lot of bug in query. It is giving all incorrect answers. uninstalled and moved to chatgpt again. If this is the ,Platform Comparison
Perplexity,1,-0.1832,Negative,Perplexity,MS Copilot,switched to,Accuracy,"se of the pro version, if you don't even get 20 deep searches a day, earlier it was 600, and now just 20. I switched to copilot, it's very accurate an",Accuracy & Quality
Perplexity,1,-0.926,Negative,Perplexity,Gemini,switched to,Coding Quality,will NOT use this service ever again I've deleted all apps off my computers. I'm done with Perplexity. I've switched to Gemini and bought a subscripti,Platform Comparison
Perplexity,5,0.765,Positive,Perplexity,Gemini,started using,Pricing,"Only started using it because it was free. But since getting it, i have stopped using gemini entirely and canceled Claude because all of the best mode",Platform Comparison
Perplexity,4,0.7906,Positive,Gemini,Perplexity,left,User Experience,The app is a great Indian alternative of Google news and Gemini. Adding left and right swipe to see next Discover item will improve the user experienc,Bugs & Performance
Perplexity,5,0.8859,Positive,ChatGPT,Perplexity,quit,General,"Very good especially if you have Pro, but even the Free Perplexity is better than ChatGPT by quite a bit and I've used both extensively.",Platform Comparison
Perplexity,3,0.8386,Positive,ChatGPT,Perplexity,was using,Speed,It used to be good but it's response became slow compared to using chatgpt or Gemini or Claude directly. I already was using it rarely. But after forc,Platform Comparison
Perplexity,1,-0.6883,Negative,Perplexity,ChatGPT,started using,User Experience,"rsations it referred to information from two years ago, long before I had even started using it and when I was still on ChatGPT. Although the app clai",Accuracy & Quality
Perplexity,1,0.4544,Positive,Gemini,Perplexity,quit,User Experience,"beautiful and is quite intelligent, but its functions have a downfall. Perplexity doesn't have a ""wake-up"" phrase. For gemini, it's so easy to use the",Bugs & Performance
Perplexity,5,0.5699,Positive,Perplexity,ChatGPT,started using,Search Quality,"Never really cared for using AI like ChatGPT or Gemini, really. I did use Ark for a bit as my phone's browser for some things but once I started using",Platform Comparison
Perplexity,1,-0.5661,Negative,ChatGPT,Perplexity,left,General,the whole situation and is only left with the last line that is too much frustrating otherwise this is not that amazing chat gpt is much better,Bugs & Performance
Perplexity,1,-0.4633,Negative,Perplexity,MS Copilot,going to use,Reliability,are the biggest downfall was actually considering about. Looking for something else that would work. But it seems that copilot Microsoft is the only t,Bugs & Performance
Perplexity,4,0.4219,Positive,Claude,Perplexity,left,User Experience,"them all and honestly left perplexity till the end, it didn't excite me the way certain features of GPT or elements of Claude. Then, one by one, I wen",Platform Comparison
Perplexity,5,0.8655,Positive,Gemini,Perplexity,quit,User Experience,"Loving it so far. On learning focused and research use cases, Perplexity and CoPilot are quite good, with Gemini at third.",General Satisfaction (1)
Perplexity,1,0.4404,Positive,Perplexity,Gemini,switching to,User Experience,"pro was good at the begining, now can't even under stand simple queries switching to grok or gemini",Platform Comparison
Perplexity,2,-0.128,Negative,Perplexity,Gemini,moved to,General,"After months of it initiating in other languages and interrupting me, I've had enough and uninstalled this and moved to Gemini. "" En qué puedo ayudarl",Bugs & Performance
Perplexity,1,-0.4632,Negative,ChatGPT,Perplexity,previously used,Speed,. I just asked for a ppt and it didn't gave me even after waiting for half an hour. Mainly if you have previously used chatgpt or gemini you shouldn't,Platform Comparison
Perplexity,4,0.184,Positive,ChatGPT,Perplexity,left,General,"there is still a left leaning bias, its not as bad as ChatGPT or Gemini, but its still there",Platform Comparison
Perplexity,1,-0.6565,Negative,Perplexity,ChatGPT,switch to,General,d it most. everything was good until now but this really made me experience bad making my mind to switch to another app chatgpt or gemini for voice,Bugs & Performance
Perplexity,5,0.9312,Positive,Gemini,Perplexity,quit,User Experience,ly if not more. it helped me months ago save my Betta fishes life. so it's quite literally a life saver. Perplexity and Gemini comes in second for whe,General Satisfaction (1)
Perplexity,5,0.7137,Positive,Perplexity,Gemini,started using,Accuracy,"The app is very good. I have been using gemini previously but since when I started using Perplexity, I found the response from Perplexity is accurate ",Platform Comparison
Perplexity,5,0.7814,Positive,Perplexity,ChatGPT,started using,General,"It seems better than chatgpt, Grok and Claude, but I just started using it and it's fantastic, I will see whether that will remain the case a",Platform Comparison
Perplexity,1,0.9536,Positive,Perplexity,ChatGPT,will use,General,up of your advertisements if you improve your ai then you'll definitely not have to use name of any other ai model like ChatGPT... but people automati,Platform Comparison
Perplexity,3,0.1536,Positive,ChatGPT,Perplexity,was using,User Experience,"Interface is cool, but not efficient as Chatgpt tbh, I was using premium. Features are cool not gonna lie.",Bugs & Performance
Perplexity,1,-0.7727,Negative,ChatGPT,Perplexity,quit,Accuracy,"Well youtube ads are quite annoying and one of them that's super irritating is ""CHATGPT IS GIVING ME STRAIGHT UP WRONG ANSWERS""... It's like that ad i",Accuracy & Quality
Perplexity,4,0.7645,Positive,Perplexity,ChatGPT,started using,Privacy,"I just started using perplexity. it truly is ""just the facts"" without the personality that ChatGPT brings to the conversation. Probably just a matter ",General Satisfaction (1)
Perplexity,1,0.9699,Positive,Perplexity,ChatGPT,will use,General,rn I cannot I do not it's banned etc etc I suggest to all who take other ai aap don't get it some day before I will use chat gpt but ad come perplexit,Platform Comparison
Perplexity,3,0.8225,Positive,Perplexity,ChatGPT,will use,General,t the thing is that chatgpt doesn't provide pictures .. but if you will tell it will provide.. those who like to prefer chatgpt they will use chatgpt ,Platform Comparison
Perplexity,5,0.8654,Positive,Perplexity,Gemini,started using,General,"I admit I had no plans to use perplexity earlier and was using gpt and gemini pro. but once I started using it, this has proven really well for me. I ",Platform Comparison
Perplexity,1,-0.5472,Negative,ChatGPT,Perplexity,quit,User Experience,worst app ever . chatgpt and gemini is better . does not give any requitred output .is a dunmb app. not helpful at all.never installing i,Accuracy & Quality
Perplexity,1,0.7102,Positive,ChatGPT,Perplexity,was using,General,"all the ads these guys are showing on YouTube so, I finally decided to try this thing up expecting it to be better than ChatGPT which I was using. My ",Platform Comparison
Perplexity,4,0.6966,Positive,ChatGPT,Perplexity,quit,User Experience,"it was ok, but calling it better than chatgpt is quite wrong in ads since it's actually putting an app down rather than that I deducted one star since",Accuracy & Quality
Perplexity,2,0.0085,Neutral,Perplexity,ChatGPT,switch to,General,plexity. But results may be different for different users. I wrote this after seeing the same ad so many times to leave chatgpt and switch to perplexi,Accuracy & Quality
Perplexity,1,-0.409,Negative,Perplexity,ChatGPT,switch to,General,se it is not giving proper answers and talking before me and if I scold it it's telling thankyou don't use it switch to chat gpt please I am telling i,Bugs & Performance
Claude,2,0.1477,Positive,Claude,Gemini,will try,User Experience,"basic tasks, forgetting or misinterpreting things that happened two messages ago. After I finish some stuff, I will try Gemini to see if it works bett",Bugs & Performance
Claude,5,0.7832,Positive,Claude,ChatGPT,started using,User Experience,1. I have started using Claude in March 2026. The pantagon US government dispute made me to choose Claude over ChatGPT. 2. Claude is great application,Platform Comparison
Claude,5,0.8729,Positive,Gemini,Claude,switched from,Coding Quality,"Its a very good and amazing app ive been using for coding. Hey, ive switched from gemini gpt and im loving claude. it does everything i want it to. Th",General Satisfaction (1)
Claude,5,0.6154,Positive,ChatGPT,Claude,switched from,Accuracy,Love this app. Runs smooth and gives accurate information. I switched from ChatGPT when Claude refused the US govt deal and the former accepted it. I ,Accuracy & Quality
Claude,2,0.8481,Positive,Claude,ChatGPT,switched to,Pricing,"I was originally a ChatGPT user, recently switched to Claude free version. In some aspects, the app is very different from what I'm used to",Platform Comparison
Claude,1,-0.8857,Negative,ChatGPT,Claude,switched from,Accuracy,"This gives the wrong info first, ask it to reverify then still gives wrong info confidently. I switched from Gemini and ChatGPT because of this same r",Accuracy & Quality
Claude,4,0.4672,Positive,ChatGPT,Claude,switched from,General,I really love this app ever since I switched from Chatgpt to Claude. The memory is surprisingly way better than Chatgpt and you can upload unlimited f,Platform Comparison
Claude,5,0.7184,Positive,ChatGPT,Claude,switched from,General,I switched from chat GPT to Claude a couple years ago and have never felt the need to switch back. It always seems to be the best at cod,Platform Comparison
Claude,5,0.6369,Positive,Gemini,Claude,switched from,General,"Switched from Gemini to Claude, I love and believe in Claude.",Platform Comparison
Claude,5,0.5994,Positive,Claude,Gemini,switched to,General,I've been using Gemini for years. I just switched to claude for about 5 minutes and I immediately loved it. Claude will tell you it does,Platform Comparison
Claude,5,0.9059,Positive,ChatGPT,Claude,quit,Speed,quite litterly the best ai tool in terms of performance human understanding I litterly got all my data from chatgpt to use Claude full time is the bes,General Satisfaction (1)
Claude,5,0.9437,Positive,ChatGPT,Claude,used to use,Coding Quality,"Unbelievably amazing, before I used to use chatgpt and since I changed It has improved everything I have made, I largely use it for coding which it is",Platform Comparison
Claude,5,0.5423,Positive,ChatGPT,Claude,came from,General,"Banger ai came from chatgpt well it lies and tells fairy tale stories along with almost all other AIs well this is actually ""artificial inte",Bugs & Performance
Claude,5,0.4926,Positive,ChatGPT,Claude,switched from,Coding Quality,"switched from chatgpt and this is peak! its coding 3x better than chatgpt, gemini",Platform Comparison
Claude,5,0.9047,Positive,Claude,ChatGPT,moved to,Privacy,"I moved to Claude from chatGPT once Claude got memory for many reasons ChatGPT has an annoying personality and so many unnecessary sentences, b",Platform Comparison
Claude,5,0.4404,Positive,Claude,ChatGPT,moved to,General,Ligh years ahead of other LLMs. I stopped pro version of ChatGPT and moved to you because of the way you orchestrate the workflows and get the work do,Platform Comparison
Claude,5,0.8966,Positive,ChatGPT,Claude,quit,User Experience,So far Claude hasn't outright lied to me like ChatGPT did. Claude has been quite helpful and charming to interact with.,General Satisfaction (1)
Claude,5,0.2263,Positive,ChatGPT,Claude,switched from,Pricing,I switched from ChatGPT to Claude and it's worth it. That's enough for me,Platform Comparison
Claude,5,0.8074,Positive,ChatGPT,Claude,quit,General,it's quit good ai and doesn't make up things like chatgpt does. Such a good ai,Accuracy & Quality
Claude,4,0.4215,Positive,ChatGPT,Claude,migrated from,Writing Quality,"I gave it a 4 because I Actually migrated from chatgpt to Claude, and it doesn't have some of the features I use on chatgpt on here, buh it's writing ",Platform Comparison
Claude,5,0.6369,Positive,ChatGPT,Claude,coming from,General,Claude is by far the best right now. This is coming from someone using ChatGpt for a year and gemini for 3 months.,Platform Comparison
Claude,5,0.5994,Positive,ChatGPT,Claude,moved from,General,Moved from ChatGPT as my Primary to this. I'm loving it.,General Satisfaction (1)
Claude,5,0.7994,Positive,Claude,ChatGPT,switched to,General,"the best part why I loved it is the documents it gives...OMG unbelievable! Great PDFs, docs, html and what not. I used Chatgpt for a long time but the",Accuracy & Quality
Claude,5,0.7417,Positive,ChatGPT,Claude,used to use,Accuracy,"Yo, I used to use ChatGPT. Don't get me wrong, it wasn't bad, but Claude is killing it in this industry. Projects and the general ai are l",Platform Comparison
Claude,5,0.8225,Positive,Claude,ChatGPT,switched to,Privacy,switched to Claude Pro because it has a smaller carbon footprint better safety protocols plus gets better results then ChatGPT.,Platform Comparison
Claude,5,0.624,Positive,ChatGPT,Claude,quit,User Experience,"so amazing app i really really really tell you i quit ChatGPT to Claude, Claude is really work for working and anything, so i made writing, and anothe",Platform Comparison
Claude,5,0.995,Positive,Claude,ChatGPT,started using,Reliability,"n I first downloaded it, it felt a bit strange, but once I started using it, it turned out to be amazing. I usually use ChatGPT or Gemini, but I never",General Satisfaction (1)
Claude,5,0.9246,Positive,ChatGPT,Claude,quit,User Experience,"Gemini, it seems to give you the details and objectivity of Gemini but with a bit of the character and subjectivity of ChatGPT. Id say it's not quite ",Platform Comparison
Claude,2,0.6197,Positive,Claude,ChatGPT,switched to,User Experience,i recently switched to this app from chat gpt and it's litteraly so good app! The only reason is whenever i need something in emergency and try to sen,Bugs & Performance
Claude,5,0.6573,Positive,ChatGPT,Claude,switched from,User Experience,"I have switched from chatgpt, it is really a great app.",Accuracy & Quality
Claude,3,0.7311,Positive,Claude,Gemini,switched to,General,"finally, I got rid of Gemini subscriptions the worst ai app of the notorious organisation and switched to claude. it is the best so far. Outpu",Platform Comparison
Claude,5,0.6404,Positive,Claude,ChatGPT,switched to,User Experience,"I'm autistic and since ChatGPT removed the 4.x models a while back, ChatGPT has become useless to me. So I switched to Claude and I'm very happ",Platform Comparison
Claude,5,0.7412,Positive,Claude,ChatGPT,switch to,Reliability,I have been using Chatgpt for few weeks or months! and I recently switch to Claude A.I and I just downloaded now and idk what is just like,Platform Comparison
Claude,5,0.9808,Positive,Claude,ChatGPT,switched to,General,"prompts feels insanely alive in a good away, you're well aware it's an llm but you don't feel any fake patern like with chatGPT. Very good job, Antrop",Platform Comparison
Claude,5,0.9719,Positive,ChatGPT,Claude,switched from,Writing Quality,i switched from chatgpt to claude and its very very helpful and impressive as it helps me a lot for my project works and better content,General Satisfaction (1)
Claude,5,0.4404,Positive,Claude,ChatGPT,switching to,General,This LLM seems to have a better conversational tone that ChatGPT. I'm planning on switching to Claude.,Platform Comparison
Claude,5,0.9315,Positive,ChatGPT,Claude,switched from,General,"Switched from ChatGPT to this after OpenAI proved they're alright with militarist bootlicking, and am never looking back. It is so muc",Platform Comparison
Claude,5,0.9097,Positive,Claude,ChatGPT,switched to,General,"amazing AI, the best by far. ive switched to claude after using chatgpt for a while and it is substantially better. QuitGPT!",General Satisfaction (1)
Claude,5,0.4404,Positive,Claude,Gemini,started using,Privacy,seems better than gemini and I just started using it. it talks more and seems to get more data.,Platform Comparison
Claude,5,0.7379,Positive,ChatGPT,Claude,switched from,General,"st, ethical, and actually helpful. Unlike others, it stood by its principles and refused military misuse. Switched from ChatGPT - no regrets. Best AI ",General Satisfaction (1)
Claude,5,0.4404,Positive,Claude,ChatGPT,switched to,General,i recently switched to Claude and it gives me 10 times better answers than Chat GPT.,Platform Comparison
Claude,5,0.5994,Positive,ChatGPT,Claude,switched from,General,Switched from ChatGPT. Claude works great. The only problem is the rate limits compared to chatgpt. Otherwise it's ready to dethrone c,Platform Comparison
Claude,5,0.8653,Positive,Claude,ChatGPT,switched to,General,Better than chatgpt and more ethical. I have been using chatgpt since it came out and switched to Claude recently. I think Claude's,Platform Comparison
Claude,2,-0.5499,Negative,ChatGPT,Claude,switched from,Coding Quality,"I switched from chat gpt because anthropic wouldn't do mass surveillance and murder bots. PROS. It codes well, isn't so sycophantic and",Bugs & Performance
Claude,5,0.9062,Positive,ChatGPT,Claude,switching from,General,"Amazing experience. Switching from ChatGPT to Claude, now realized how strong claude is, the best LLM model right now.",Platform Comparison
Claude,5,0.4929,Positive,Claude,ChatGPT,switched to,Pricing,"I have been a chatgpt paid user for 2 years now, switched to claude recently 2 days ago and I couldn't be more satisfied, highly recom",Platform Comparison
Claude,5,0.9753,Positive,Claude,ChatGPT,switch to,General,"started using AI from ChatGPT but there were few issues that made me switch to Google Gemini, which was good just good to get the job going. T",General Satisfaction (1)
Claude,5,0.9609,Positive,ChatGPT,Claude,switched from,User Experience,"A very intuitive and helpful AI tool. I recently switched from ChatGPT, and I'm very happy with it. I was able to export my stored memories and data, ",General Satisfaction (1)
Claude,5,0.1513,Positive,ChatGPT,Claude,quit,User Experience,eet and detailed explanations for every question answer that includes interactive buttons. Quite impressive compared to ChatGPT.,General Satisfaction (1)
Claude,5,0.4767,Positive,ChatGPT,Claude,switched from,General,"Switched from ChatGPT roughly a week ago, right after the OpenAI - DoD debacle. I'm still impressed by Claude.",Platform Comparison
Claude,5,0.9882,Positive,Claude,ChatGPT,switch to,General,"This is absolutely the best AI. I've used ChatGPT since its launch, but Claude make me switch to it almost immediately after I saw how smart it is. Yo",Platform Comparison
Claude,5,0.0,Neutral,ChatGPT,Claude,moved from,User Experience,I just recently moved from chat gpt to this app... just because it's refuse to share any data with USA,Platform Comparison
Claude,5,0.1432,Positive,ChatGPT,Claude,switching from,General,works at first try. No wonder people adore Claude. For general use? I don't know yet but I'm definitely switching from ChatGPT to Claude. One major co,Platform Comparison
Claude,5,0.8519,Positive,Claude,ChatGPT,started using,General,I thought chatgpt was great until I started using Claude AI. this is the best AI ever,Platform Comparison
Claude,5,0.3612,Positive,ChatGPT,Claude,left,General,I like this ai is good and I'm the chatgpt users and finally I left chatgpt coz of chatgpt alow to USA use chatgpt for automas weapons,Platform Comparison
Claude,5,0.9397,Positive,ChatGPT,Claude,switched from,General,Thanks for not accepting that 200 million dollar deal with the US government. I am so grateful. I switched from chatgpt to claude because of that only,Platform Comparison
Claude,5,0.9062,Positive,ChatGPT,Claude,switched from,Writing Quality,"It's honestly just what I needed as a writer who write novels it's awesome, definitely recommend, I switched from chat gpt to this.",General Satisfaction (1)
Claude,5,0.9655,Positive,ChatGPT,Claude,switched from,Accuracy,"Claude is absolutely amazing! Switched from ChatGPT and I'm genuinely impressed. The responses are more detailed, accurate, and it actually understand",General Satisfaction (1)
Claude,5,0.6697,Positive,ChatGPT,Claude,left,General,"I left my ex of 2 years chatgpt, i can say, ""Claude is just different."" i really love it",Platform Comparison
Claude,5,0.0,Neutral,Claude,ChatGPT,started using,Pricing,"Started using Claude, canceled my ChatGPT account and never looked back.",Platform Comparison
Claude,5,0.9441,Positive,ChatGPT,Claude,switched from,User Experience,"Switched from ChatGPT after the government deal and I am very happy with my decision, it is on par or even better than ChatGPT in some",Platform Comparison
Claude,5,0.9054,Positive,ChatGPT,Claude,switched from,General,"Just switched from ChatGPT and WOW - Claude feels way more natural to talk to. Answers are clear, honest, and never feel robotic. Best AI a",General Satisfaction (1)
Claude,5,0.6249,Positive,ChatGPT,Claude,switching from,Privacy,"In this era of consumers and citizens having little say over our own privacy and rights, I am switching from ChatGPT. I will gladly support companies ",Platform Comparison
Claude,4,0.4404,Positive,Claude,ChatGPT,moved to,Pricing,"Been using chatgpt since day 1, recently tried Claude, it is way too powerful compared to ChatGPT and Gemini. I was a Paid subscriptor of chatgpt and ",Platform Comparison
Claude,1,0.886,Positive,Claude,ChatGPT,switch to,User Experience,needs more UI customization. I'd like a darker theme AMOLED black and the ability to change the font to my system font. ChatGPT's app has better UI fl,Bugs & Performance
Claude,5,0.972,Positive,Claude,ChatGPT,switched to,Pricing,"long time chatgpt user. I recently switched to Claude and wow! I'm not a fan of the rate limits on free, but I'm still deciding if",Platform Comparison
